,file_name,rules,trad_result,LLM_result,Specific_Category
0,detect-output/oh-rules/LightingScene.rules,"['""Lighting Scene Wakeup""', '""Lighting Scene Evening""']", SAC,TC,['STC']
1,detect-output/oh-rules/MiLight.rules,"['""1 - Milight_ID1_G1_ONOFF""', '""2 - Milight_ID1_G1_BRIGHT""']", SAC,TC,['WTC']
2,detect-output/oh-rules/MiLight.rules,"['""1 - Milight_ID1_G1_ONOFF""', '""3 - Milight_ID1_G1_CT""']", SAC,TC,['WTC']
3,detect-output/oh-rules/MiLight.rules,"['""1 - Milight_ID1_G1_ONOFF""', '""4 - Milight_ID1_G1_HUE""']", SAC,TC,['STC']
4,detect-output/oh-rules/MiLight.rules,"['""2 - Milight_ID1_G1_BRIGHT""', '""5 - Milight_ID1_G1_HubStates""']", WAC,CC,['WCC']
5,detect-output/oh-rules/MiLight.rules,"['""3 - Milight_ID1_G1_CT""', '""5 - Milight_ID1_G1_HubStates""']", WAC,CC,['WCC']
6,detect-output/oh-rules/MiLight.rules,"['""2 - Milight_ID1_G1_BRIGHT""', '""5 - Milight_ID1_G1_HubStates""']", SCC,CC,['WCC']
7,detect-output/oh-rules/MiLight.rules,"['""3 - Milight_ID1_G1_CT""', '""5 - Milight_ID1_G1_HubStates""']", SCC,CC,['WCC']
8,detect-output/oh-rules/WateringSystem.rules,"['""1 Watering_garden_startup""', '""7 Watering_starting/stoping""']", WAC,CC,['WCC']
9,detect-output/oh-rules/WateringSystem.rules,"['""1 Watering_garden_startup""', '""7 Watering_starting/stoping""']", WAC,CC,['WCC']
10,detect-output/oh-rules/WateringSystem.rules,"['""1 Watering_garden_startup""', '""7 Watering_starting/stoping""']", WAC,CC,['WCC']
11,detect-output/oh-rules/WateringSystem.rules,"['""2 Rain_sensor_rain_activated""', '""6 Watering_manual_start/stop""']", WAC,AC,['WAC']
12,detect-output/oh-rules/WateringSystem.rules,"['""2 Rain_sensor_rain_activated""', '""8 Watering_algorithm""']", WAC,TC,['WTC']
13,detect-output/oh-rules/WateringSystem.rules,"['""2 Rain_sensor_rain_activated""', '""8 Watering_algorithm""']", WAC,TC,['WTC']
14,detect-output/oh-rules/Doorbell.rules,"['""Auto Front Doorbell""', '""Send doorbell GIF to HomeHub and Pushover""']", SAC,TC,['WTC']
15,detect-output/oh-rules/irrigation.rules,"['""1 Irrigation - system start""', '""2 - Irrigation - calculate whether to start watering""']", SAC,CC,['WCC']
16,detect-output/oh-rules/irrigation.rules,"['""2 - Irrigation - calculate whether to start watering""', '""5 - Irrigation - all valves closed""']", SAC,CC,['WCC']
17,detect-output/oh-rules/irrigation.rules,"['""3 - Irrigation - cascading""', '""5 - Irrigation - all valves closed""']", SAC,TC,['WTC']
18,detect-output/oh-rules/irrigation.rules,"['""1 Irrigation - system start""', '""2 - Irrigation - calculate whether to start watering""']", WAC,CC,['WCC']
19,detect-output/oh-rules/irrigation.rules,"['""1 Irrigation - system start""', '""2 - Irrigation - calculate whether to start watering""']", WAC,CC,['WCC']
20,detect-output/oh-rules/irrigation.rules,"['""1 Irrigation - system start""', '""3 - Irrigation - cascading""']", WAC,TC,['WTC']
21,detect-output/oh-rules/irrigation.rules,"['""2 - Irrigation - calculate whether to start watering""', '""3 - Irrigation - cascading""']", WAC,TC,['WTC']
22,detect-output/oh-rules/irrigation.rules,"['""3 - Irrigation - cascading""', '""4 - Irrigation - update timer""']", WAC,TC,['WTC']
23,detect-output/oh-rules/irrigation.rules,"['""3 - Irrigation - cascading""', '""5 - Irrigation - all valves closed""']", WAC,TC,['STC']
